Sample,Date,Depth,Depth.bin,Days since start freeze,Ice thickness,DO,Conductivity-mS,Dist.from.bottom,Temperature
Legin-13.02-30_86,13/02/2008,30,Top,12,13 cm,34,3.3,150,3.7
Legin_13.02_90,13/02/2008,90,Middle,12,13 cm,34,3.4,90,4.4
Legin-13.02-120_96,13/02/2008,120,Middle,12,13 cm,34,3.53,60,4.9
Legin-13.02-130_01,13/02/2008,130,Middle,12,13 cm,57,7.3,50,5.1
Legin-13.02-140_02,13/02/2008,140,Bottom,12,13 cm,76,37.3,40,5.4
Legin_22.02_30,22/02/2008,30,Top,22,28 cm,43,4.6,150,0.8
Legin-22.02-90_18,22/02/2008,90,Middle,22,28 cm,43,4.62,90,1.7
Legin-22.02-120_22,22/02/2008,120,Middle,22,28 cm,42,4.69,60,1.8
Legin-22.02-130_25,22/02/2008,130,Middle,22,28 cm,57,6.8,50,1.8
Legin-22.02-140_11,22/02/2008,140,Middle,22,28 cm,73,20.2,40,1.7
Legin-150.22.02_58,22/02/2008,150,Bottom,22,28 cm,80,37.3,30,1.7
Legin-11.03-50_12,11/03/2008,50,Top,39,50 cm,32,6.38,130,0
Legin-11.03-100_60,11/03/2008,100,Middle,39,50 cm,32,6.78,80,0
Legin-11.03-120_15,11/03/2008,120,Middle,39,50 cm,32,6.8,60,-0.1
Legin-11.03-130_63,11/03/2008,130,Middle,39,50 cm,32,6.8,50,-0.2
Legin-11.03-140_64,11/03/2008,140,Middle,39,50 cm,32,9.19,40,-0.3
Legin-11.03-150_44,11/03/2008,150,Bottom,39,50 cm,36,25,30,-0.6
Legin-140.03.04_03,3/04/2008,140,Middle,62,94 cm,24,11.93,40,-0.3
Legin-03.04-130_07,3/04/2008,130,Top,62,94 cm,24,11.95,50,-0.1
Legin-150.03.04_34,3/04/2008,150,Middle,62,94 cm,24,13.52,30,-0.6
Legin-160.03.04_35,3/04/2008,160,Middle,62,94 cm,24,25,20,-0.8
Legin-170.03.04_04,3/04/2008,170,Middle,62,94 cm,34,35.2,10,-1.2
Legin-180.03.04_36,3/04/2008,180,Bottom,62,94 cm,27,38.5,0,-1.8
