old,new
Legin_13.02_30_R1_filt.fastq.gz,Legin-13.02-30_86
Legin_13.02_90_R1_filt.fastq.gz,Legin_13.02_90
Legin_13.02_120_R1_filt.fastq.gz,Legin-13.02-120_96
Legin_13.02_130_R1_filt.fastq.gz,Legin-13.02-130_01
Legin_13.02_140_R1_filt.fastq.gz,Legin-13.02-140_02
Legin_22.02_30_R1_filt.fastq.gz,Legin_22.02_30
Legin_22.02_90_R1_filt.fastq.gz,Legin-22.02-90_18
Legin_22.02_120_R1_filt.fastq.gz,Legin-22.02-120_22
Legin_22.02_130_R1_filt.fastq.gz,Legin-22.02-130_25
Legin_22.02_140_R1_filt.fastq.gz,Legin-22.02-140_11
Legin_22.02_150_R1_filt.fastq.gz,Legin-150.22.02_58
Legin_11.03_50_R1_filt.fastq.gz,Legin-11.03-50_12
Legin_11.03_100_R1_filt.fastq.gz,Legin-11.03-100_60
Legin_11.03_120_R1_filt.fastq.gz,Legin-11.03-120_15
Legin_11.03_130_R1_filt.fastq.gz,Legin-11.03-130_63
Legin_11.03_140_R1_filt.fastq.gz,Legin-11.03-140_64
Legin_11.03_150_R1_filt.fastq.gz,Legin-11.03-150_44
Legin_03.04_130_R1_filt.fastq.gz,Legin-140.03.04_03
Legin_03.04_140_R1_filt.fastq.gz,Legin-03.04-130_07
Legin_03.04_150_R1_filt.fastq.gz,Legin-150.03.04_34
Legin_03.04_160_R1_filt.fastq.gz,Legin-160.03.04_35
Legin_03.04_170_R1_filt.fastq.gz,Legin-170.03.04_04
Legin_03.04_180_R1_filt.fastq.gz,Legin-180.03.04_36
